,Constract,O_Time,O_price,C_Time,C_price,Proportion,Cost,Volume,Stop loss,Lock in gain,Fee,Profit,Cash
1532,BTCUSDT,1532296800000.0,7371.01,1532430000000.0,8140.18,-0.75_0.3021,109.66918783335039,0,7002.4595,8108.111000000001,0.16154770197573337,11.282508025228298,253.28372952630252
1533,BTCUSDT,1532300400000.0,7409.52,1532433600000.0,8257.98,-1.0_0.3772,95.57894234170328,0,7039.044,8150.472000000002,0.14147180322032266,10.803219542405504,157.7146503564434
1534,BTCUSDT,1532304000000.0,7394.78,1532430000000.0,8140.18,-1.0_0.3772,59.52227884129944,0,7025.040999999999,8134.258000000001,0.08753111717128884,5.912364302071018,98.21761117959424
1535,BTCUSDT,1532307600000.0,7469.77,1532408400000.0,7865.34,0.75_0.3021,-29.68356446525609,0,7843.258500000001,6722.793000000001,0.04265733863114331,-1.6145835954665402,68.55493381440138
1536,BTCUSDT,1532311200000.0,7514.06,1532412000000.0,7982.76,0.75_0.3021,-20.716329733999252,0,7889.763000000001,6762.654,0.029907408653098856,-1.322117445081535,47.84488114471401
1537,EOSUSDT,1532314800000.0,8.1353,1532484000000.0,8.9777,-0.5_0.2116,10.126185328048628,0,7.728535000000001,8.948830000000001,0.014910647015257865,1.0336430043987228,37.72610891774955
1538,EOSUSDT,1532318400000.0,8.1331,1532484000000.0,8.9777,-0.5_0.2116,7.983666478454872,0,7.726445,8.946410000000002,0.011757490288534744,0.8173242507085,29.743942202489393
1539,XLMUSDT,1532318400000.0,0.29824,1532376000000.0,0.28312,-0.25_0.1091,3.2450446890674693,0,0.28332799999999997,0.328064,0.004427901778116231,-0.16894331117558212,26.502214548674495
1540,TRXUSDT,1532322000000.0,0.03606,1532379600000.0,0.03425,-0.75_0.3021,8.006853367913138,0,0.034257,0.03966600000000001,0.010928266838840291,-0.4128252328932712,18.492027914686165
1541,NEOUSDT,1532322000000.0,34.334,1532376000000.0,32.387,-0.75_0.3021,5.588028846590205,0,32.6173,37.76740000000001,0.007601421648259495,-0.32448533160081794,12.905692245260886
1542,ETHUSDT,1532325600000.0,466.79,1533088800000.0,415.89,1.0_0.3772,-4.870081537793614,0,490.12950000000006,420.11100000000005,0.006446381671084999,0.5246000209375724,8.03611327058343
1543,TRXUSDT,1532325600000.0,0.03585,1532394000000.0,0.03362,-0.25_0.1091,0.8769418729513518,0,0.0340575,0.039435000000000005,0.001189534346994457,-0.05573849882904517,7.161966595397467
1544,ETCUSDT,1532383200000.0,16.0093,1532484000000.0,16.8372,0.5_0.2116,-4.88675220118873,0,16.809765,14.40837,0.00701835147841829,-0.2597303468413727,18.20608055488011
1545,EOSUSDT,1532422800000.0,8.0071,1532440800000.0,8.5145,1.0_0.3772,-25.08448032148358,0,8.407455,7.20639,0.036230973143284856,-1.6258033920116386,41.391858356541896
1546,EOSUSDT,1532426400000.0,8.0724,1532440800000.0,8.5145,1.0_0.3772,-15.621489375206934,0,8.47602,7.26516,0.022468963069512654,-0.8780088833880045,25.776993074997357
1547,XLMUSDT,1532505600000.0,0.30166,1532541600000.0,0.31701,1.0_0.3772,-998.3241660952236,0,0.316743,0.271494,1.4332137117506214,-52.23304116504818,1647.3330101854135
1548,ADAUSDT,1532509200000.0,0.17102,1532970000000.0,0.15353,0.5_0.2116,-348.6939218799986,0,0.179571,0.153918,0.46320914888496945,35.197279061155825,1299.0938294763657
1549,XLMUSDT,1532512800000.0,0.30144,1532541600000.0,0.31701,0.5_0.2116,-274.9165539804288,0,0.316512,0.271296,0.39482318194810684,-14.594832289814656,1024.2289196534666
1550,XLMUSDT,1532516400000.0,0.30161,1532541600000.0,0.31701,0.75_0.3021,-309.4718230593983,0,0.3166905,0.271449,0.44432154579325445,-16.245740845931632,714.7329079057131
1551,ADAUSDT,1532520000000.0,0.16986,1532656800000.0,0.16128,-0.25_0.1091,77.98587546946904,0,0.161367,0.18684600000000004,0.10642275969664419,-4.045659846285861,636.909072599557
1552,XLMUSDT,1532523600000.0,0.30216,1532548800000.0,0.32258,1.0_0.3772,-240.29125961968597,0,0.317268,0.271944,0.3477749969365959,-16.58667995270169,396.5041992109658
1553,XLMUSDT,1532527200000.0,0.30264,1532548800000.0,0.32258,0.75_0.3021,-119.83245994959323,0,0.31777200000000005,0.272376,0.17329221327907504,-8.068676998485534,276.7560604211417
1554,XLMUSDT,1532534400000.0,0.30254,1532548800000.0,0.32258,0.25_0.1091,-30.19738342070465,0,0.317667,0.272286,0.04367651162413441,-2.04392627612113,246.62142155400724
1555,ADAUSDT,1532538000000.0,0.17076,1532653200000.0,0.16215,-1.0_0.3772,93.04463475851449,0,0.16222199999999998,0.187836,0.12697846422007458,-4.8184419525710505,153.53279371955628
1556,NEOUSDT,1532545200000.0,33.809,1532973600000.0,31.611,-0.25_0.1091,203.90065767857428,0,32.11855,37.1899,0.2761816888323414,-13.532227285493153,1665.2525601939576
1557,ADAUSDT,1532548800000.0,0.17246,1532646000000.0,0.16309,-0.75_0.3021,621.1087118731297,0,0.16383699999999998,0.189706,0.845930185482547,-34.5916603852461,1434.4660892680006
1558,ADAUSDT,1532552400000.0,0.17276,1532646000000.0,0.16309,-1.0_0.3772,988.820775401249,0,0.164122,0.190036,1.3456055811122751,-56.69346908036014,1631.6514813488368
1559,ADAUSDT,1532559600000.0,0.17361,1532966400000.0,0.15526,0.75_0.3021,-493.12166473777273,0,0.1822905,0.156249,0.653885405896077,51.46743564668223,1138.8768059885283
1560,ADAUSDT,1532563200000.0,0.17274,1532966400000.0,0.15526,0.75_0.3021,-344.15243552180306,0,0.181377,0.15546600000000002,0.4574354474690633,34.36822492604668,794.8286489271766
1561,NEOUSDT,1532563200000.0,34.11,1533034800000.0,30.46,1.0_0.3772,-299.93589303751725,0,35.8155,30.699,0.3974436361595644,31.697719353782915,494.92370746939827
1562,NEOUSDT,1532570400000.0,34.815,1533031200000.0,31.075,1.0_0.3772,-186.78662289511075,0,36.555749999999996,31.333499999999997,0.24745539014192713,19.818090197326523,308.21628906338725
1563,TRXUSDT,1532574000000.0,0.03754,1532890800000.0,0.03976,1.0_0.3772,-116.32233187975346,0,0.039417,0.033786,0.167666525786187,-7.046611032260683,191.94328218734455
1564,ADAUSDT,1532574000000.0,0.17302,1532642400000.0,0.16435,-1.0_0.3772,72.4403315624038,0,0.164369,0.19032200000000002,0.09887548411423949,-3.728847017151119,119.53366802516288
1565,NEOUSDT,1532574000000.0,34.717,1533031200000.0,31.075,0.5_0.2116,-25.301905105212768,0,36.45285,31.2453,0.03356465300796471,2.620741260325125,94.26475981847015
1566,ADAUSDT,1532577600000.0,0.17309,1532642400000.0,0.16435,-1.0_0.3772,35.56757642454568,0,0.16443549999999998,0.190399,0.04853744348078506,-1.844485320022062,58.689997424000936
1567,LTCUSDT,1532577600000.0,86.75,1533042000000.0,77.1,0.75_0.3021,-17.73743324723613,0,91.0875,78.075,0.023451238112873175,1.9496465236834233,40.96504527698893
1568,TRXUSDT,1532581200000.0,0.03764,1532890800000.0,0.03976,1.0_0.3772,-15.458536195267097,0,0.039522,0.033876,0.022251421122730375,-0.8929234916319279,25.508104309658208
1569,NEOUSDT,1532581200000.0,34.789,1533031200000.0,31.075,0.5_0.2116,-5.399346019574818,0,36.52845000000001,31.310100000000002,0.007155588501057606,0.569267163423426,20.115799723206376
1570,TRXUSDT,1532584800000.0,0.03756,1532890800000.0,0.03976,1.0_0.3772,-7.5900076059580535,0,0.03943800000000001,0.033804,0.010937209043260746,-0.4555063446425059,12.524258654137855
1571,ADAUSDT,1532588400000.0,0.17496,1532642400000.0,0.16435,-0.5_0.2116,2.651032208878825,0,0.166212,0.19245600000000002,0.003598909563078829,-0.16436395149383062,9.876683728036985
1572,TRXUSDT,1532649600000.0,0.03586,1532869200000.0,0.03776,1.0_0.3772,-616.2083854640997,0,0.037653000000000006,0.032274000000000004,0.8855460941580289,-33.534623963142735,1016.8044098325922
1573,XRPUSDT,1532718000000.0,0.46046,1533596400000.0,0.4053,0.5_0.2116,-673.7905095725841,0,0.483483,0.414414,0.8868058248214661,79.82874928968084,2510.2734473436462
1574,TRXUSDT,1532725200000.0,0.03682,1533013200000.0,0.03489,-0.75_0.3021,758.4817077708348,0,0.034978999999999996,0.040502,1.0340441685217976,-40.79150467905179,1751.7324557340726
1575,XRPUSDT,1532725200000.0,0.45756,1533596400000.0,0.4053,0.5_0.2116,-370.74744606990674,0,0.48043800000000003,0.411804,0.4894051029834684,41.855339917589404,1381.2564236473563
1576,EOSUSDT,1532736000000.0,8.4296,1532966400000.0,7.897,-0.5_0.2116,292.3039487498165,0,8.00812,9.272560000000002,0.39629766000298094,-18.864680869663243,1089.0073853456638
1577,EOSUSDT,1532768400000.0,8.3668,1532966400000.0,7.897,-1.0_0.3772,410.8996138086715,0,7.948459999999999,9.20348,0.5591089063134089,-23.631327504500714,678.0247545714511
1578,TRXUSDT,1532768400000.0,0.03656,1533027600000.0,0.03466,-0.75_0.3021,204.91428441035572,0,0.034732,0.04021600000000001,0.2794255124451278,-10.928690840116785,473.2546598916742
1579,TRXUSDT,1532772000000.0,0.03644,1533031200000.0,0.03448,-0.25_0.1091,51.63772167676207,0,0.034617999999999996,0.040084,0.07034860194624523,-2.847789175120058,421.72423180882566
1580,ADAUSDT,1532772000000.0,0.16427,1532966400000.0,0.15526,-0.75_0.3021,127.41139347383184,0,0.1560565,0.18069700000000002,0.17348410415587412,-7.161836543427937,294.2597967647359
1581,XLMUSDT,1532772000000.0,0.3174,1532973600000.0,0.27903,1.0_0.3772,-111.04163777538399,0,0.33327,0.28566,0.14606173539023498,13.277591829327745,183.22961781834078
1582,TRXUSDT,1532775600000.0,0.0364,1533031200000.0,0.03448,-0.75_0.3021,55.37609912452184,0,0.03458,0.040040000000000006,0.07548188280665592,-2.996418979484737,127.89248457087456
1583,ADAUSDT,1532775600000.0,0.16417,1532966400000.0,0.15526,-1.0_0.3772,48.2614040451714,0,0.1559615,0.18058700000000003,0.06573246150882847,-2.685024110668101,79.63606081225869
1584,EOSUSDT,1532779200000.0,8.3138,1532966400000.0,7.897,-1.0_0.3772,30.055038049902283,0,7.89811,9.145180000000002,0.041022318022270104,-1.5477869574409788,49.593767218553104
1585,TRXUSDT,1532779200000.0,0.03634,1532905200000.0,0.04003,-0.5_0.2116,10.497601326094104,0,0.034523,0.039974,0.015442797724041408,1.0504941558611895,39.109856098165665
1586,NEOUSDT,1532779200000.0,33.161,1533009600000.0,31.417,-1.0_0.3772,14.756763804451252,0,31.50295,36.47710000000001,0.020116208952525468,-0.7962024571043599,24.35011087997956
1587,NEOUSDT,1532782800000.0,33.102,1533009600000.0,31.417,-1.0_0.3772,9.189850697693847,0,31.446899999999996,36.4122,0.012538335569305678,-0.48033177480603123,15.164157021460444
1588,EOSUSDT,1532786400000.0,8.2149,1532973600000.0,7.5199,-1.0_0.3772,5.723026875338988,0,7.804155,9.03639,0.0076733104839570455,-0.4918549412232964,9.443556922797104
1589,XRPUSDT,1532786400000.0,0.45126,1533088800000.0,0.42831,-0.75_0.3021,2.8540546581467097,0,0.428697,0.49638600000000005,0.0038940712648279727,-0.14904443780400042,6.5915105452024285
1590,NEOUSDT,1532786400000.0,32.89,1533031200000.0,31.075,-1.0_0.3772,2.4873670627122064,0,31.2455,36.179,0.0033862299761772694,-0.14064896086163364,4.104400163807027
1591,BTCUSDT,1532890800000.0,8212.99,1533045600000.0,7730.0,-0.25_0.1091,78.29197248658976,0,7802.340499999999,9034.289,0.106385822228419,-4.710584754809376,639.408960766821
1592,BTCUSDT,1532894400000.0,8221.0,1533042000000.0,7803.43,-0.25_0.1091,69.75197394050322,0,7809.95,9043.1,0.09517272067145026,-3.6380910710346592,569.6629648253
1593,BTCUSDT,1532898000000.0,8202.12,1533261600000.0,7340.0,0.25_0.1091,-62.143508639151975,0,8612.226,7381.908000000001,0.08242860479284815,6.449438969442316,507.524782111859
1594,EOSUSDT,1532901600000.0,8.2572,1532970000000.0,7.808,-0.25_0.1091,55.36496600481004,0,7.844339999999999,9.08292,0.07540261545104054,-3.0873125521560576,452.16456108689295
1595,ETHUSDT,1532901600000.0,465.11,1533034800000.0,433.14,-0.25_0.1091,49.32581902500703,0,441.8545,511.62100000000004,0.06668281021145275,-3.457163415292995,402.8429694647718
1596,EOSUSDT,1532905200000.0,8.2662,1533031200000.0,7.2879,0.25_0.1091,-45.20506827770172,0,8.67951,7.439579999999999,0.059542099967184466,5.290451645172735,369.18888119454846
1597,ETHUSDT,1532905200000.0,465.78,1533088800000.0,415.89,1.0_0.3772,-139.2865404440501,0,489.069,419.202,0.18455780600136107,14.734514508725898,229.83648371998189
1598,ADAUSDT,1532908800000.0,0.16274,1532970000000.0,0.15353,-0.5_0.2116,48.64989920308134,0,0.154603,0.179014,0.06618257671544167,-2.8194428179614666,181.25003016576923
1599,EOSUSDT,1532916000000.0,8.2564,1533031200000.0,7.2879,0.75_0.3021,-54.764883307483046,0,8.66922,7.430759999999999,0.07217397932725596,6.351907882416033,126.4808663694131
1600,BNBUSDT,1532916000000.0,13.6927,1533384000000.0,14.4052,1.0_0.3772,-47.7287169478268,0,14.377335,12.32343,0.0685586992448414,-2.5521237247932427,78.75707473803807
1601,ETHUSDT,1532919600000.0,466.12,1533088800000.0,415.89,0.75_0.3021,-23.80215398241376,0,489.42600000000004,419.50800000000004,0.031527539011027485,2.5334389814915097,54.97166934970011
