,Time,Realize,Unrealize,Gain/Loss,Cash,Total
2020/06/17 19:00:00,1592391600000,0,7070.441423406324,0,7.344148089457048,7077.785571495781
2020/06/17 20:00:00,1592395200000,0,7060.441034263063,0,7.344148089457048,7067.78518235252
2020/06/17 21:00:00,1592398800000,0,7113.825302137476,0,7.344148089457048,7121.169450226933
2020/06/17 22:00:00,1592402400000,0,7072.774936455765,0,7.344148089457048,7080.119084545222
2020/06/17 23:00:00,1592406000000,0,7059.5866995741435,0,7.344148089457048,7066.930847663601
2020/06/18 00:00:00,1592409600000,0,7047.411491494575,0,7.344148089457048,7054.755639584032
2020/06/18 01:00:00,1592413200000,0,7040.479692451177,0,7.344148089457048,7047.823840540634
2020/06/18 02:00:00,1592416800000,0,7052.520057947009,0,7.344148089457048,7059.864206036466
2020/06/18 03:00:00,1592420400000,0,7052.0947224916845,0,7.344148089457048,7059.438870581142
2020/06/18 04:00:00,1592424000000,0,6991.573907277901,0,7.344148089457048,6998.918055367358
2020/06/18 05:00:00,1592427600000,0,7043.8591990203295,0,7.344148089457048,7051.203347109787
2020/06/18 06:00:00,1592431200000,0,7086.739789954985,0,7.344148089457048,7094.083938044442
2020/06/18 07:00:00,1592434800000,0,7074.716814539881,0,7.344148089457048,7082.060962629338
2020/06/18 08:00:00,1592438400000,0,7084.993614637696,0,7.344148089457048,7092.337762727153
2020/06/18 09:00:00,1592442000000,29.51753658357718,7021.408597526233,2.709727868598978,7.344148089457048,7058.270282199268
2020/06/18 10:00:00,1592445600000,0,7023.102377929919,0,36.861684673034226,7059.964062602953
2020/06/18 11:00:00,1592449200000,0,7017.53685464491,0,32.8408543948351,7050.377709039745
2020/06/18 12:00:00,1592452800000,0,7050.627280787305,0,8.888856002148032,7059.5161367894525
2020/06/18 13:00:00,1592456400000,0,7023.004020106543,0,8.888856002148032,7031.892876108691
2020/06/18 14:00:00,1592460000000,0,7030.429567314409,0,8.888856002148032,7039.318423316557
2020/06/18 15:00:00,1592463600000,0,7038.60521801808,0,8.888856002148032,7047.494074020228
2020/06/18 16:00:00,1592467200000,0,7037.118959799719,0,8.888856002148032,7046.007815801867
